date	ABW	AND	AFG	AGO	ALB	ARB	ARE	ARG	ARM	ASM	ATG	AUS	AUT	AZE	BDI	BEL	BEN	BFA	BGD	BGR	BHR	BHS	BIH	BLR	BLZ	BMU	BOL	BRA	BRB	BRN	BTN	BWA	CAF	CAN	CEB	CHE	CHI	CHL	CHN	CIV	CMR	COG	COL	COM	CPV	CRI	CSS	CUB	CUW	CYM	CYP	CZE	DEU	DJI	DMA	DNK	DOM	DZA	EAP	EAS	ECA	ECS	ECU	EGY	EMU	ERI	ESP	EST	ETH	EUU	FCS	FIN	FJI	FRA	FRO	FSM	GAB	GBR	GEO	GHA	GIN	GMB	GNB	GNQ	GRC	GRD	GRL	GTM	GUM	GUY	HIC	HKG	HND	HPC	HRV	HTI	HUN	IDN	IMN	IND	INX	IRL	IRN	IRQ	ISL	ISR	ITA	JAM	JOR	JPN	KAZ	KEN	KGZ	KHM	KIR	KNA	KOR	KSV	KWT	LAC	LAO	LBN	LBR	LBY	LCA	LCN	LDC	LIC	LIE	LKA	LMC	LMY	LSO	LTU	LUX	LVA	MAC	MAF	MAR	MCO	MDA	MDG	MDV	MEA	MEX	MHL	MIC	MKD	MLI	MLT	MMR	MNA	MNE	MNG	MNP	MOZ	MRT	MUS	MWI	MYS	NAC	NAM	NCL	NER	NGA	NIC	NLD	NOC	NOR	NPL	NZL	OEC	OED	OMN	OSS	PAK	PAN	PER	PHL	PLW	PNG	POL	PRI	PRK	PRT	PRY	PSS	PYF	QAT	ROU	RUS	RWA	SAS	SAU	SDN	SEN	SGP	SLB	SLE	SLV	SMR	SOM	SRB	SSA	SSD	SSF	SST	STP	SUR	SVK	SVN	SWE	SWZ	SXM	SYC	SYR	TCA	TCD	TGO	THA	TJK	TKM	TLS	TON	TTO	TUN	TUR	TUV	TZA	UGA	UKR	UMC	URY	USA	UZB	VCT	VEN	VIR	VNM	VUT	PSE	WLD	WSM	YEM	ZAF	COD	ZMB	ZWE
1/1/1960			414.371	550.05	2024.184	59563.98922	11.001	48815.104			36.67	88202.351	30821.135			91000.272	161.348	44.004		22295.36	575.719	410.704			44.004	157.681	1004.758	46908.264	172.349	333.697			88.008	192895.201	467450.0281	19523.108		13490.893	780726.302	462.042	271.358	223.687	16409.825	11.001	22.002	491.378	5878.201	13699.912		11.001	887.414			40.337	11.001	29779.707	1041.428	6160.56	854114.5772	1211359.018			1763.827	16054.126	1128460.869		48928.781		352.032	2359869.701	33028.91259	15104.373	194.351	271218.654	58.672		132.012	584299.78		1463.133	410.704	18.335	18.335	22.002	9405.855	22.002	223.687	1345.789		660.06	6832548.967	2955.602	616.056	19481.40232		286.026	45371.791	21404.279		120581.961		11180.683	37392.399	8265.418	1213.777	6468.588	109357.274	1470.467	744.401	232781.16		2427.554		234.688		11.001	12552.141		7803.376	159976.542	80.674	2581.568	165.015	693.063	14.668	294099.2358	23700.30501			2258.872	349995.1734	1755963.473			11518.047		51.338		3641.331			399.703		102252.4176	63116.404		1726709.445		121.011	341.031	2717.247	84204.24175		1294.451		1884.838	36.67	179.683			3083748.982		861.745	29.336	3406.643	531.715	73505.015		13102.191	80.674	11543.716	5668393.536	5729496.167			14154.62	997.424	8173.743	8335.091	14.668	179.683	199767.159			8225.081	304.361	309.5141183	36.67	176.016	53450.192		106.343	139487.6917	2676.91	1360.457	828.742	1393.46	11.001	715.065	619.723		84.341		124475.768		124501.722	7013.93686	11.001	432.706			49222.141	33.003			3223.293		55.005	66.006	3714.671				11.001	2581.568	1727.157	16820.529		828.742	421.705		1323391.024	4319.726	2890696.1		11.001	57069.521		7491.681			9396705.835	14.668	3633.997	97934.569	2321.211
1/1/1961			491.378	454.708	2280.874	65151.09581	11.001	51180.319			47.671	90589.568	31862.563			92793.435	128.345	91.675		25973.361	1771.161	546.383			36.67	176.016	1041.428	49203.806	194.351	304.361			88.008	194182.318	492615.8119	20388.52		14473.649	552066.85	553.717	282.359	267.691	18217.656	11.001	22.002	491.378	8804.467	12181.774		11.001	865.412			44.004	11.001	31734.218	1030.427	6065.218	624031.7971	1042288.043			1646.483	17088.22	1190486.901		53677.546		341.031	2446230.536	32574.36622	14939.358	168.682	281211.229	113.677		165.015	588938.535		1345.789	616.056	22.002	29.336	22.002	9823.893	18.335	293.36	1408.128		737.067	6975252.562	3373.64	737.067	20522.26086		297.027	48976.452	26024.699		130402.187		12365.124	36541.655	8720.126	1092.766	7069.976	124549.655	2130.527	979.089	283118.069		2401.885		286.026	7.334	22.002	14462.648		9981.574	166206.775	113.677	2684.244	161.348	1195.442	18.335	300700.1824	23051.17351			2335.879	376958.4239	1517011.171			11591.387		69.673		3777.01			355.699		107498.3889	65305.603		1489432.407		117.344	293.36	2592.569	84640.85634		1393.46		2632.906	47.671	187.017			3074863.841		887.414	55.005	4114.374	561.051	75888.565		13351.547	80.674	11767.403	5784145.135	5847718.538			14656.999	1103.767	8643.119	8723.793	51.338	201.685	207434.856			9090.493	363.033	332.6121868	58.672	161.348	55775.07		139.346	150116.4946	3571.658	1386.126	814.074	2093.857	14.668	289.693	583.053		88.008		130194.7781		130220.8549	10168.8469	11.001	429.039			48851.774	3.667			3065.612		51.338	91.675	4147.377				11.001	4602.085	1767.494	17363.245		704.064	407.037		1089350.837	4121.708	2880505.507		11.001	51928.387		7986.726			9434402.595	18.335	2665.909	102213.958	2357.881
1/1/1962			689.396	1180.774	2464.224	74357.70773	18.335	53695.881			102.676	94912.961	33905.082		44.004	98117.919	135.679	84.341		30736.794	1591.478	726.066			69.673	157.681	1100.1	53695.881	260.357	370.367			73.34	207185.5	527332.9483	24154.529		16725.187	440359.029	586.72	289.693	238.355	19442.434	11.001	18.335	550.05	11771.07	14169.288		11.001	905.749			47.671	11.001	36926.69	1243.113	5669.182	510458.4648	949564.1715			1565.809	18595.357	1296183.144		60054.459		396.036	2587557.241	35414.51888	16809.528	231.021	298706.486	117.344		88.008	593360.937		1433.797	660.06	25.669	40.337	22.002	10164.924	25.669	264.024	1382.459		678.395	7299531.744	3685.335	700.397	20556.95614		304.361	50560.596	22995.757		143467.708		13120.526	37462.072	9031.821	1199.109	7942.722	146456.313	2119.526	1048.762	293220.654		2625.572		308.028	11.001	14.668	17278.904		14290.299	174255.84	132.012	2856.593	253.023	1048.762	18.335	318961.7989	25800.69582			2563.233	405356.0717	1440201.742			11551.05		95.342		3080.28			396.036		118397.5362	63809.467		1413668.588		139.346	330.03	2882.262	87777.87711		1972.846		1987.514	62.339	253.023			3194551.054		564.718	66.006	4180.38	660.06	83358.244		14077.613	88.008	11210.019	6042262.184	6107652.761			16105.464	1191.775	9970.573	10348.274	51.338	198.018	216815.042			9303.179	392.369	413.5178539	47.671	190.684	63879.14		84.341	165280.303	6255.902	1485.135	814.074	2577.901	14.668	326.363	649.059		106.343		134761.5864		134787.7613	13388.65769	11.001	495.045			51326.999				3204.958		84.341	88.008	5034.791				11.001	7238.658	1796.83	21631.633		766.403	429.039		1000862	4011.698	2987207.873		11.001	54106.585		9347.183	40.337		9818839.874	18.335	3887.02	105767.281	2174.531
1/1/1963			707.731	1151.438	2082.856	87895.97916	22.002	50083.886			84.341	101029.517	36992.696		47.671	105781.949	121.011	88.008		34411.128	1195.442	707.731			62.339	150.347	1213.777	55617.389	190.684	355.699			73.34	211109.19	570233.9056	29104.979		17355.911	436695.696	623.39	300.694	234.688	21257.599	11.001	14.668	601.388	5984.544	13039.852		11.001	986.423			66.006	14.668	40707.367	1250.447	5427.16	507487.4884	992849.6269			1796.83	21554.626	1423338.026		58822.347		421.705	2763983.133	36308.93508	19358.093	242.022	334019.696	124.678		73.34	603822.888		1723.49	696.73	29.336	47.671	25.669	12258.781	14.668	330.03	1521.805		616.056	7699373.736	4250.053	711.398	21737.94289		249.356	56281.116	22783.071		154083.673		13461.557	41341.758	9394.854	1305.452	8210.413	164780.312	2398.218	1221.111	325222.563		2856.593		388.702	18.335	18.335	21103.585		17025.881	181094.795	146.68	3028.942	355.699	1463.133	22.002	319198.621	24922.07753			2533.897	436776.4811	1491306.099			11448.374		106.343		3960.36			462.042		135940.3576	66361.699		1463950.17		176.016	410.704	2636.573	95989.16657		1602.479		1661.151	88.008	209.019			3330490.411		619.723	88.008	5350.153	843.41	91227.626		14983.362	99.009	12229.445	6378499.267	6446233.309			18514.683	1184.441	10234.597	11485.044	55.005	256.69	231219.018			10025.578	410.704	433.5915362	66.006	6138.558	69529.987		84.341	178494.6915	6945.298	1679.486	861.745	3399.309	14.668	370.367	1125.769		102.676		141277.804		141307.9981	7256.388881	7.334	531.715			55371.7			7.334	3611.995		91.675	106.343	5570.173				11.001	1309.119	1947.177	22669.394		803.073	432.706		1024637.369	4319.726	3119230.874		14.668	56204.109		9119.829	33.003		10355747.35	22.002	2918.932	109826.65	2295.542
1/1/1964			839.743	1224.778	2016.85	103196.2816	18.335	55727.399			91.675	108979.573	38943.54		47.671	103662.423	143.013	110.01		42863.563	1598.812	1085.432			84.341	201.685	1481.468	56735.824	179.683	341.031			73.34	237801.283	612557.9357	28166.227		17524.593	436923.05	762.736	337.364	267.691	21708.64	11.001	29.336	674.728	10652.635	14293.966		11.001	1001.091			84.341	14.668	43189.926	1749.159	5650.847	514373.0294	1047114.279			2145.195	25522.32	1490743.897		64410.855		407.037	2879925.788	37692.00795	22852.744	425.372	345303.055	121.011		190.684	608355.3		1650.15	700.397	29.336	58.672	25.669	13223.202	22.002	315.362	1771.161		649.059	8092892.713	4224.384	722.399	23645.69072		300.694	62401.339	22394.369		150647.694		14231.627	47560.99	9075.825	1309.119	9149.165	175957.328	4066.703	1243.113	359318.329		2827.257		341.031	18.335	18.335	22218.353		25335.303	197467.95	172.349	3267.297	484.044	663.727	22.002	345527.2257	27655.55666			2273.54	452392.9984	1565535.03			12306.452		128.345		4422.402			484.044		158237.5698	74278.752		1536457.961		176.016	498.712	2860.26	108309.7698		2046.186		2141.528	117.344	308.028	330.03		3493998.274		1100.1	95.342	7275.328	949.753	96867.472		16189.805	150.347	13105.858	6690991.696	6770077.358	11.001		19035.397	1243.113	12266.115	12838.167	58.672	267.691	243114.766			11023.002	432.706	678.4904593	66.006	6274.237	72115.222		36.67	175458.9536	7047.974	1859.169	924.084	3703.67	18.335	304.361	1232.112		135.679		155078.2221		155107.9557	12700.61661	11.001	605.055			60432.16	11.001		7.334	4367.397		99.009	132.012	7480.68				11.001	3795.345	2757.584	26336.394		1034.094	491.378		1079570.32	4558.081	3255995.306		18.335	56603.812		11800.406	62.339		10947007.09	25.669	3633.997	119657.877	1976.513	3278.298	4473.74
1/1/1965			1008.425	1188.108	2174.531	123828.1969	22.002	58866.351			150.347	120966.996	38188.138		36.67	105440.918	150.347	102.676		46317.877	1228.445	1316.453			84.341	179.683	1510.804	56398.46	205.352	333.697			88.008	252153.921	631585.8538	30370.094		17766.615	475972.933	1173.44	311.695	245.689	22885.747	14.668	25.669	847.077	11917.75	14609.328		11.001	1151.438			121.011	14.668	44337.697	1547.474	6596.933	559456.8386	1135836.948			2277.207	27641.846	1553826.466		71117.798		645.392	2977352.531	50900.84125	25327.969	344.698	351852.317	135.679		216.353	622619.93		1705.155	696.73	29.336	66.006	29.336	17025.881	22.002	344.698	1976.513		1078.098	8453126.556	4807.437	751.735	27623.29915		304.361	61293.905	24689.911		165972.087		13732.915	53765.554	19314.089	1397.127	12944.51	189767.25	2992.272	1422.796	386919.838		2467.891		403.37	11.001	22.002	25005.273		35419.553	199250.112	179.683	3318.635	557.384	1015.759	25.669	357860.7711	31457.04887			2658.575	499625.196	1700437.396			12203.776		132.012		4261.054			557.384		188221.8963	75246.84		1667989.78		198.018	473.043	2728.248	127601.5303		1958.178		2005.849	161.348	304.361	348.365		3643256.175		1232.112	91.675	11763.736	781.071	100497.802		16409.825	179.683	13699.912	6978681.967	7058603.57	25.669		19974.149	1529.139	11965.421	13982.271	66.006	304.361	247221.806			11598.721	550.05	586.1515211	84.341	6292.572	78723.156		47.671	192549.8603	4220.717	2427.554	1694.154	2530.23	25.669	282.359	1041.428		132.012		172130.2468		172163.2881	14093.31292	11.001	795.739			62628.693	80.674		7.334	3678.001		106.343	132.012	7451.344				11.001	5196.139	2464.224	27388.823		1162.439	627.057		1166006.959	5522.502	3390922.571		14.668	60787.859		13164.53	47.671		11433441.98	29.336	3931.024	128260.659	2471.558	3916.356	5214.474
1/1/1966			1092.766	1554.808	2552.232	139079.1501	25.669	63138.406			348.365	120332.605	39258.902		47.671	105206.23	113.677	102.676		48767.433	649.059	1092.766			80.674	201.685	1690.487	64304.512	267.691	491.378			84.341	259319.239	651698.1816	31528.866		18793.375	522789.522	1294.451	344.698	308.028	23501.803	18.335	22.002	993.757	11756.402	15185.047		18.335	1243.113			139.346	14.668	50127.89	1672.152	8430.433	617292.3515	1231694.788			2420.22	26563.748	1615700.696		77729.399		825.075	3066425.293	63926.16543	29519.35	322.696	347235.564	139.346		381.368	618564.228		1441.131	718.732	33.003	66.006	25.669	18650.362	29.336	388.702	1741.825		1180.774	8817357.606	5166.803	806.74	28814.74869		304.361	61733.945	23395.46		171765.947		15111.707	64161.499	27704.185	1496.136	13597.236	214248.142	3520.32	1584.144	419743.155		2684.244		469.376	11.001	22.002	30014.395		35151.862	217214.745	234.688	3630.33	612.389	2629.239	29.336	376611.0682	32414.40262			2662.242	524838.8544	1848051.613			11620.723		150.347		5467.497			579.386		214211.4919	80930.69		1812478.745		190.684	414.371	2808.922	151663.0299		1954.511		2126.86	179.683	275.025	429.039		3821399.035		1510.804	135.679	12907.84	960.754	103655.089		19563.445	190.684	14015.274	7287915.808	7377267.616	29.336		20326.181	1657.484	13256.205	16123.799	66.006	341.031	252678.302			11851.744	513.38	590.1662575	121.011	6277.904	84183.319		44.004	198885.475	6413.583	2643.907	1719.823	674.728	25.669	300.694	1305.452		139.346		175636.9577		175666.2475	14217.10815	11.001	1096.433			72591.932	201.685		7.334	4917.447		84.341	179.683	9479.195				11.001	4055.702	2885.929	31547.201		1371.458	733.4		1279720.733	5405.158	3561878.111		18.335	57029.184		19200.412	77.007		12009447	25.669	3465.315	128356.001	2405.552	3501.985	6046.883
1/1/1967			1283.45	993.757	2680.577	149730.9591	916.75	65543.958			564.718	129265.417	39966.633		47.671	107472.436	143.013	102.676		55166.348	1004.758	1705.155			121.011	212.686	1892.172	66193.017	337.364	440.04			91.675	281896.958	677985.7686	32562.96		19259.084	433234.048	1488.802	458.375	322.696	24715.58	18.335	18.335	876.413	14026.275	15749.765		14.668	1364.124			88.008	22.002	49075.461	1569.476	8441.434	536064.1888	1242864.505			2592.569	19677.122	1717790.139		86519.198		1074.431	3135859.966	71243.59146	28617.268	355.699	372009.816	168.682		1012.092	592517.527		1496.136	726.066	33.003	47.671	25.669	19534.109	36.67	418.038	1983.847		1323.787	9217169.561	6057.884	876.413	31399.27767		260.357	58829.681	24561.566		172238.99		16413.492	67942.176	18393.672	1444.798	13542.231	234427.643	3868.685	1415.462	489881.864		2702.579		418.038	22.002	22.002	35151.862		25441.646	231651.724	319.029	3571.658	612.389	18507.349	33.003	404341.8102	34089.7717			2948.268	531443.2585	1803925.007			11360.366		165.015		5416.159			843.41		228040.8179	90101.857		1768558.719		223.687	520.714	3619.329	154290.0555		2152.529		1873.837	198.018	498.712	366.7		3977818.587		1474.134	132.012	12838.167	1081.765	106783.04		19328.757	212.686	13641.24	7596239.704	7696478.213	135.679		21572.961	1697.821	13655.908	18232.324	73.34	436.373	259282.569			12409.128	487.711	666.44625	139.346	6688.608	92129.708		40.337	201136.2366	25507.652	3186.623	700.397	3058.278	33.003	253.023	1158.772		227.354		182602.594		182631.7335	17536.36768	11.001	1334.788			69001.939	227.354		7.334	4609.419		117.344	198.018	12167.106				14.668	4638.755	3087.614	33523.714		1760.16	810.407		1235117.994	4884.444	3695708.943		18.335	65815.316		22984.756	84.341		12389685.57	25.669	3054.611	133885.837	2291.875	4792.769	5298.815
1/1/1968			1224.778	1672.152	3072.946	178805.0386	1243.113	69082.613			990.09	134622.904	42350.183		55.005	118557.777	154.014	102.676		59526.411	1103.767	1631.815			102.676	223.687	2178.198	77421.371	440.04	429.039			183.35	303539.592	723926.2782	36028.275		21224.596	468928.626	1763.827	506.046	451.041	26604.085	18.335	29.336	1037.761	14026.275	16035.791		22.002	1624.481			121.011	22.002	53325.514	2350.547	9061.157	585646.1473	1378369.236			3116.95	22904.082	1832618.752		97157.165		1727.157	3317585.025	97466.27962	33314.695	396.036	384631.63	183.35		1961.845	606969.174		1763.827	748.068	36.67	62.339	29.336	22321.029	40.337	542.716	2141.528		1331.121	9702791.744	6204.564	1224.778	35992.55629		264.024	61154.559	27586.841		187336.029		17821.62	82404.824	19717.459	1595.145	13809.922	249495.346	3883.353	1507.137	562565.471		2819.923		491.378	33.003	33.003	37242.052		22442.04	252861.652	168.682	3700.003	883.747	30139.073	36.67	431414.713	46946.36902			3241.628	585798.1124	1988636.732			12269.782		168.682		5628.845			913.083		272067.2294	93988.877		1946665.706		198.018	638.058	2929.933	196498.5783		2482.559		2779.586	234.688	638.058	388.702		4135118.219		1840.834	161.348	6633.603	1232.112	113552.322		21140.255	253.023	13487.226	7999079.043	8104768.56	161.348		24737.582	2020.517	14502.985	22251.356	77.007	502.379	276073.762			13010.516	590.387	710.6083509	154.014	7080.977	100189.774		55.005	219942.1864	29104.979	3105.949		5419.826	36.67	385.035	1261.448		154.014		187414.3343		187447.0565	18855.56057	14.668	1452.132			77685.395	278.692		7.334	5962.542		124.678	194.351	17099.221				14.668	4041.034	3597.327	36314.301		1653.817	982.756		1358917.671	4884.444	3831354.94		22.002	65635.633		23622.814	62.339		13017193.61	29.336	11646.392	138084.552	3369.973	4572.749	6384.247
1/1/1969			942.419	2786.92	3245.295	213131.6125	20524.199	77329.696			1257.781	142257.598	44693.396		73.34	123618.237	201.685	121.011		66376.367	1272.449	1745.492			135.679	198.018	2548.565	84315.331	480.377	487.711			187.017	307400.943	778050.609	38096.463		22555.717	577237.138	2086.523	572.052	502.379	28048.883	18.335	36.67	1147.771	14869.685	17260.569		44.004	1672.152			84.341	18.335	59401.733	2654.908	11276.025	706800.5951	1610239.861			3593.66	19695.457	1948005.993		96882.14		1668.485	3521010.692	104244.6476	37935.115	432.706	413259.899	212.686		1433.797	628857.497		1690.487	748.068	47.671	58.672	44.004	25474.649	47.671	407.037	2280.874		1367.791	10332668.89	7759.372	1177.107	39693.42649		315.362	62419.674	33391.702		190724.337		18514.683	83116.222	22625.39	1265.115	14818.347	270008.544	4272.055	1760.16	653958.112		3131.618		1345.789	11.001	25.669	42522.532		26831.439	273440.856	319.029	4352.729	1272.449	35551.565	62.339	466813.9806	45122.53563			4319.726	606052.8504	2211574.311			13193.866		168.682		5826.863			850.744		306981.6924	102287.298		2164043.548		161.348	652.726	3215.959	200178.6155		2684.244		3241.628	275.025	572.052	381.368		4332347.814		1558.475	190.684	12112.101	1287.117	115910.203		22222.02	399.703	14271.964	8482760.054	8598080.309	234.688		23993.181	2053.52	15302.391	22860.078	132.012	557.384	293653.36			14612.995	520.714	762.7999247	161.348	7172.652	111649.149		58.672	223580.6075	35302.209	4184.047	491.378	7205.655	36.67	1107.434	1191.775		161.348		202853.2313		202900.3689	19188.26025	14.668	1521.805			86467.86	304.361		7.334	7242.325		161.348	242.022	14561.657				11.001	3905.355	3857.684	38807.861		1796.83	1177.107		1542365.47	5595.842	4024748.853		29.336	68998.272		27080.795	44.004		13797116.84	29.336	4679.092	143280.691	3652.332	4275.722	6750.947
1/1/1970			1672.152	3582.659	3744.007	220575.3991	15247.386	82734.854			462.042	147618.752	50692.608		62.339	125620.419	282.359	143.013		61238.9	2592.569	2574.234			121.011	227.354	2486.226	93761.523	429.039	8210.413	3.667		209.019	341485.708	809658.748	40296.663		24664.242	771617.474	2442.222	638.058	572.052	28404.582	29.336	36.67	1250.447	20960.572	18672.364		36.67	1705.155			139.346	25.669	62100.645	3109.616	15075.037	916133.1682	1973618.028			4283.056	21686.638	2129906.514		116929.629		1653.817	3753877.908	103009.7842	40395.672	520.714	439013.24	256.69		2082.856	653063.364		2625.572	792.072	47.671	69.673	36.67	24165.53	44.004	381.368	2299.209		1580.477	11231800.19	8401.097	1389.793	43033.30249		385.035	70003.03	35822.923		195143.072		19413.098	92019.698	23908.84	1389.793	16578.507	296740.974	4994.454	1558.475	768823.22		3083.947		1173.44	22.002	25.669	53783.889		25041.943	302153.466	572.052	3949.359	1452.132	32331.939	66.006	514997.8835	46658.46756			3597.327	645259.1751	2549552.339			13747.583		205.352		7293.663			971.755		324207.8237	114073.036		2498232.288		201.685	663.727	4616.753	210994.9164		2849.259		2984.938	429.039	498.712	454.708	14601.994	4670617.563		2394.551	216.353	21539.958	1404.461	141934.902		28012.213	227.354	14194.957	9201071.688	9330239.178	234.688		24337.879	2203.867	17784.95	24781.586	135.679	693.063	304441.674			15258.387	744.401	891.271491	194.351	7568.688	120112.585		58.672	228245.8224	45291.117	4855.108	1309.119	18210.322	40.337	872.746	1430.13		216.353		223669.3564		223730.7667	26507.65307	14.668	1609.813			92379.064	366.7		29.336	6659.272		124.678	275.025	15375.731				25.669	8998.818	3744.007	42639.876		1767.494	1444.798		1818777.037	5742.522	4328904.501		29.336	74561.111		28199.23	40.337		14788798.31	29.336	2511.895	149763.947	2713.58	3769.676	8162.742
1/1/1971			1895.839	3410.31	4352.729	250915.8033	21184.259	88939.418			425.372	152774.554	52155.741		73.34	121528.047	293.36	150.347		64300.845	3039.943	6732.612			143.013	231.021	3061.945	102635.663	484.044	7517.35	3.667		183.35	352607.719	834220.895	41943.146		27095.463	876633.02	2706.246	810.407	685.729	30326.09	29.336	36.67	1529.139	25060.278	19607.449		44.004	1884.838			161.348	25.669	57062.187	3523.987	18668.697	1031104.177	2129265.471			4224.384	23047.095	2219372.157		128682.364		1851.835	3847190.003	102413.3796	40582.689	550.05	462434.369	260.357		2845.592	660863.073		2295.542	814.074	55.005	73.34	66.006	27814.195	47.671	469.376	2442.222		1499.803	11446765.35	9160.166	1331.121	46221.36594		403.37	69280.631	38987.544		205869.047		22497.045	101883.928	28862.957	1474.134	16248.477	311588.657	5753.523	1657.484	797543.164		3685.335		249.356	29.336	29.336	58616.995		27139.467	329578.959	421.705	5339.152	1525.472	21646.301	69.673	543108.2927	47928.22283			3197.624	690078.4143	2807642.94			13201.2		227.354		8203.079			1026.76	3.667	363993.731	126339.151		2752387.069		227.354	660.06	5104.464	224665.7227		3036.276		3615.662	399.703	396.036	502.379	16677.516	4709608.774		2420.22	231.021	32280.601	1507.137	140875.139		27198.139	198.018	15060.369	9355868.958	9503585.763	2093.857		23076.431	2603.57	18613.692	27586.841	165.015	825.075	313246.141			16406.158	634.391	991.6399021	227.354	9152.832	125829.438		62.339	237639.3435	59808.77	4983.453	1353.123	16593.175	47.671	803.073	1510.804		187.017		257420.5591		257514.3665	31725.6341	11.001	1716.156			84590.356	399.703		33.003	8885.141		150.347	315.362	19248.083				18.335	8104.07	4213.383	47733.339		2464.224	1441.131		2018317.205	5808.528	4356770.034		29.336	62562.687		24528.563	58.672		15323175.56	36.67	1972.846	168568.323	2962.936	3791.678	8742.128
1/1/1972			1532.806	4506.743	5643.513	272872.7713	23454.132	90156.862			374.034	157486.649	56193.108		73.34	130834.893	388.702	161.348	3509.319	66171.015	3681.668	6490.59			157.681	253.023	3571.658	114362.729	502.379	9460.86	3.667	22.002	168.682	381136.979	871106.8507	42973.573		28191.896	931575.681	3014.274	861.745	663.727	31481.195	29.336	51.338	1763.827	25580.992	20799.224		55.005	2405.552			190.684	25.669	59643.755	4675.425	28349.577	1093091.367	2266541.035			4594.751	25511.319	2371902.153		145026.183		1408.128	3999961.869	95080.6611	44161.681	579.386	480729.032	234.688		2739.249	648486.948		2423.887	832.409	66.006	66.006	88.008	31572.87	47.671	553.717	2709.913		1562.142	12014046.82	9284.844	1536.473	47387.73062		392.369	69430.978	43340.273		217849.136		22053.338	106394.338	29552.353	1485.135	16934.206	328970.237	6288.905	1917.841	853373.239		3872.352		117.344	25.669	29.336	60336.818		27634.512	353264.112	487.711	5727.854	1507.137	15232.718	77.007	569921.8189	48246.66939			3542.322	726254.7293	2969556.091			13494.56		231.021		8049.065			1287.117	3.667	390823.3572	132459.374		2915172.279		245.689	839.743	4899.112	235056.416		3281.965		3300.3	447.374	689.396	546.383	17913.295	4946342.96		1705.155	253.023	41426.099	1606.146	157794.677		29427.675	267.691	16197.139	9807259.208	9966380.355	2090.19	5147.733694	18929.054	2801.588	18173.652	26442.737	172.349	1268.782	329952.993			18349.668	715.065	1043.831476	216.353	10784.647	132422.704		66.006	245637.662	70344.061	5379.489	1455.799	22240.355	55.005	678.395	1679.486		234.688		271378.9581		271505.5914	32588.10105	11.001	1745.492			84781.04	381.368		44.004	7766.706		121.011	399.703	21836.985				22.002	8243.416	4737.764	53857.229		2167.197	1382.459		2140917.811	6076.219	4564952.958		36.67	62577.355		23058.096	62.339		15957192.52	36.67	1496.136	171725.61	3021.608	4066.703	8225.081
1/1/1973			1639.149	4880.777	5291.481	318599.9374	30630.451	94065.884			330.03	170992.21	60164.469		73.34	138872.957	381.368	168.682	4554.414	68825.923	5522.502	7873.049			146.68	425.372	3457.981	132463.041	480.377	9981.574	3.667	51.338	161.348	381621.023	907533.4014	46262.872		27652.847	968542.708	3208.625	898.415	1221.111	33699.73	29.336	62.339	2046.186	30670.788	22398.036		58.672	2500.894			179.683	25.669	59266.054	5966.209	38312.816	1145672.55	2415310.61			5262.145	23795.163	2546643.722		155367.123		1752.826	4204385.027	99091.09993	49387.156	630.724	516599.626	253.023		5313.483	660034.331		2475.225	803.073	62.339	110.01	29.336	37256.72	55.005	557.384	2937.267		1804.164	12641608.27	9295.845	1510.804	50842.39171		421.705	73068.642	49134.133		224343.393		22860.078	129899.808	30645.119	1752.826	19310.422	354320.208	8298.421	2203.867	915748.909		3920.023		128.345	36.67	29.336	73094.311		24242.537	394682.877	517.047	7172.652	1481.468	14587.326	80.674	622086.5887	52583.86805			3689.002	777776.9166	3184728.43			14169.288		223.687		9640.543			1074.431	3.667	462280.9889	144292.783		3125573.356		267.691	806.74	4110.707	272043.9089		3479.983		3564.324	469.376	678.395	572.052	17513.592	5152241.343		2599.903	330.03	49577.84	1829.833	165645.724		30524.108	421.705	18202.988	10290017.98	10466193.62	2112.192	8164.925432	20036.488	3241.628	19757.796	31543.534	176.016	1345.789	336128.221			20003.485	869.079	1124.126205	209.019	12467.8	144960.177		69.673	254691.485	95136.648	5427.16	1551.141	21220.929	66.006	539.049	1969.179		264.024		288431.7007		288502.7557	40738.99112	14.668	2108.525			87366.275	370.367		47.671	7895.051		161.348	403.37	24455.223				25.669	9398.521	4829.439	59486.074		3186.623	1180.774		2296065.673	5775.525	4770194.948		40.337	66501.045		25096.948	55.005		16822109.48	36.67	2731.915	173533.441	3193.957	4591.084	9281.177
